dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Single-run,1,0,1,0.000000,1,0.000000,1,1.000000,8071,64832,8.032710,alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Single-run,2,1,1,1.000000,1,0.000000,1,1.000000,8071,64832,8.032710,alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,OLCFISAS single,1,0,1,0.000000,0,0.000000,1,0.000000,8071,64832,8.032710,seed=42 class=3 group=1
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,OLCFISAS single,2,0,1,0.000000,0,0.000000,1,0.000000,8071,64832,8.032710,seed=42 class=3 group=1
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,OLCFISAS multi avg,1,0,1,0.000000,0,0.000000,1,0.000000,8071,64832,8.032710,runs=1 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,OLCFISAS multi avg,2,0,1,0.000000,0,0.000000,1,0.000000,8071,64832,8.032710,runs=1 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Multi-run avg,1,0,1,0.000000,1,0.000000,1,1.000000,8071,64832,8.032710,runs=1 alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Multi-run avg,2,1,1,1.000000,1,0.000000,1,1.000000,8071,64832,8.032710,runs=1 alpha=0.0 seed=42
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Greedy,1,0,1,0.000000,1,0.000000,1,1.000000,8071,64832,8.032710,global offline greedy
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,Greedy,2,1,1,1.000000,1,0.000000,1,1.000000,8071,64832,8.032710,global offline greedy
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,BPA,1,0,1,0.000000,1,0.000000,1,1.000000,8071,64832,8.032710,k=2
SDSC-SP2-1998-4.2-cln_interval_5groups_first_5,BPA,2,1,1,1.000000,1,0.000000,1,1.000000,8071,64832,8.032710,k=2
